MAIRA Recording v4
Formula Vee - Classic @ Circuit de Ledenon -  (104s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-1.1011559,-1.5362215,0,0.087299734,0.02443877,0.12793176,0,0,-0.00059437775,0.041026086,6723.3877,6500,3,4,False,38.134598,0.011333179,0.0045957076,6.719512,-0.17412065,0.004676927,3079.9268,3.3262844,38.134598,38.134598,0.012253929,-0.08888666,0.13716348,0.0019043854,-0.008084129,0.002114103,0.043005683,0.042797297,1,0
-1.1011559,-1.5082201,0,0.087299734,0.02443877,0.12793176,0,0,-0.00059437775,0.041026086,6723.3877,6500,3,4,False,38.134598,0.011333179,0.0045957076,6.719512,-0.17412065,0.0040764553,3079.9268,3.3262844,38.134598,38.134598,0.012069415,-0.15744098,0.13381526,0.0047304165,-0.0056285816,0.0058421665,0.04298017,0.04280797,1,0
-1.1011559,-1.4584008,0,0.087299734,0.02443877,0.12793176,0,0,-0.00059437775,0.041026086,6723.3877,6500,3,4,False,38.134598,0.011333179,0.0045957076,6.719512,-0.17412065,0.0033593867,3079.9268,3.3262844,38.134598,38.134598,0.011845708,-0.1949583,0.12751691,0.00737509,-0.0022063623,0.009276871,0.042971425,0.042829935,1,0
-1.1011559,-1.3772826,0,0.087299734,0.02443877,0.12793176,0,0,-0.00059437775,0.041026086,6723.3877,6500,3,4,False,38.134598,0.011333179,0.0045957076,6.719512,-0.17412065,0.0025439248,3079.9268,3.3262844,38.134598,38.134598,0.011628721,-0.22062935,0.119463384,0.0097403955,-0.004912999,0.0088412035,0.042968515,0.042859703,1,0
-1.1011559,-1.2593646,0,0.087299734,0.02443877,0.12793176,0,0,-0.00059437775,0.041026086,6723.3877,6500,3,4,False,38.134598,0.011333179,0.0045957076,6.719512,-0.17412065,0.001772007,3079.9268,3.3262844,38.134598,38.134598,0.011441495,-0.24120933,0.10837181,0.011857295,-0.012037454,0.003838519,0.042947132,0.042880144,1,0
-1.1011559,-1.1011559,0,0.087299734,0.02443877,0.12793176,0,0,-0.00059437775,0.041026086,6723.3877,6500,3,4,False,38.134598,0.011333179,0.0045957076,6.719512,-0.17412065,0.0011857109,3079.9268,3.3262844,38.134598,38.134598,0.011333179,-0.23966248,0.09454909,0.013830835,-0.019039787,-0.0039222315,0.042903326,0.042881735,1,0
0.12546784,-0.8436256,0,0.07534751,0.027607221,0.08655593,0,0,-0.00067750306,-0.017852709,6725.789,6500,3,4,False,38.13766,0.012919191,-5.820766E-10,6.719512,-0.27574247,0.0007727632,3080.5615,3.3263013,38.13766,38.13766,0.011396736,-0.19767919,0.08017254,0.015819183,-0.02431211,-0.012887208,0.042841643,0.042859633,1,0
0.12546784,-0.6087613,0,0.07534751,0.027607221,0.08655593,0,0,-0.00067750306,-0.017852709,6725.789,6500,3,4,False,38.13766,0.012919191,-5.820766E-10,6.719512,-0.27574247,0.0003663307,3080.5615,3.3263013,38.13766,38.13766,0.011657786,-0.14198759,0.06757652,0.017873216,-0.03076535,-0.022012677,0.04276774,0.042811695,1,0
0.12546784,-0.40546533,0,0.07534751,0.027607221,0.08655593,0,0,-0.00067750306,-0.017852709,6725.789,6500,3,4,False,38.13766,0.012919191,-5.820766E-10,6.719512,-0.27574247,-0.0002478325,3080.5615,3.3263013,38.13766,38.13766,0.012025796,-0.12295535,0.056413636,0.020380469,-0.040882856,-0.031348877,0.04267237,0.042738263,1,0
0.12546784,-0.2287206,0,0.07534751,0.027607221,0.08655593,0,0,-0.00067750306,-0.017852709,6725.789,6500,3,4,False,38.13766,0.012919191,-5.820766E-10,6.719512,-0.27574247,-0.0010352277,3080.5615,3.3263013,38.13766,38.13766,0.012393106,-0.15275949,0.044650875,0.023507249,-0.052148417,-0.040803973,0.042543653,0.042637724,1,0
