MAIRA Recording v4
Toyota GR86 @ Circuit de Spa-Francorchamps - Grand Prix (178s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
0.20955287,0.18910554,0,0.21731332,0.036596723,0.053290304,0,0,-0.00073270395,-0.015641062,6130.769,6690,3,6,False,34.802288,0.012749887,-0.006287533,13.864885,-0.014533381,-0.0038803865,2.0106986,5.7563953,34.802288,34.802288,0.013258577,-0.35466117,0.010819275,-0.011866465,-0.018018207,-0.005933582,0.078018725,0.07722488,1,0
0.20955287,0.18955877,0,0.21731332,0.036596723,0.053290304,0,0,-0.00073270395,-0.015641062,6130.769,6690,3,6,False,34.802288,0.012749887,-0.006287533,13.864885,-0.014533381,-0.003828333,2.0106986,5.7563953,34.802288,34.802288,0.01313766,-0.3743469,0.010772292,-0.010901868,-0.01743525,-0.0040199556,0.07796919,0.07721156,1,0
0.20955287,0.19485953,0,0.21731332,0.036596723,0.053290304,0,0,-0.00073270395,-0.015641062,6130.769,6690,3,6,False,34.802288,0.012749887,-0.006287533,13.864885,-0.014533381,-0.003790928,2.0106986,5.7563953,34.802288,34.802288,0.012985553,-0.38392156,0.010766084,-0.00973028,-0.016510945,-0.0029138231,0.0779216,0.077203095,1,0
0.20955287,0.20292208,0,0.21731332,0.036596723,0.053290304,0,0,-0.00073270395,-0.015641062,6130.769,6690,3,6,False,34.802288,0.012749887,-0.006287533,13.864885,-0.014533381,-0.0037797047,2.0106986,5.7563953,34.802288,34.802288,0.012836516,-0.3812145,0.011005002,-0.008364173,-0.014211248,-0.0025712678,0.077876866,0.07719675,1,0
0.20955287,0.20955287,0,0.21731332,0.036596723,0.053290304,0,0,-0.00073270395,-0.015641062,6130.769,6690,3,6,False,34.802288,0.012749887,-0.006287533,13.864885,-0.014533381,-0.0038061158,2.0106986,5.7563953,34.802288,34.802288,0.012749887,-0.35889125,0.011850289,-0.0068957917,-0.011460555,-0.0031418416,0.07784006,0.07719061,1,0
0.10915268,0.19997695,0,0.21877714,0.035769165,0.05044733,0,0,-0.0007517293,-0.013861075,6130.6514,6690,3,6,False,34.834488,0.013093052,-0.006287534,13.864885,-5.587935E-08,-0.0038661712,2.5904708,5.756463,34.834488,34.834488,0.012733321,-0.3350622,0.013371445,-0.0053784773,-0.009558859,-0.005255979,0.07781163,0.07718158,1,0
0.10915268,0.18816641,0,0.21877714,0.035769165,0.05044733,0,0,-0.0007517293,-0.013861075,6130.6514,6690,3,6,False,34.834488,0.013093052,-0.006287534,13.864885,-5.587935E-08,-0.003962308,2.5904708,5.756463,34.834488,34.834488,0.012789218,-0.31065974,0.015446478,-0.0038723866,-0.009326389,-0.008768574,0.07778737,0.07716426,1,0
0.10915268,0.1693549,0,0.21877714,0.035769165,0.05044733,0,0,-0.0007517293,-0.013861075,6130.6514,6690,3,6,False,34.834488,0.013093052,-0.006287534,13.864885,-5.587935E-08,-0.004089875,2.5904708,5.756463,34.834488,34.834488,0.012908663,-0.2915701,0.017664203,-0.0024732582,-0.00940198,-0.012545847,0.07776189,0.07713494,1,0
0.10915268,0.14558218,0,0.21877714,0.035769165,0.05044733,0,0,-0.0007517293,-0.013861075,6130.6514,6690,3,6,False,34.834488,0.013093052,-0.006287534,13.864885,-5.587935E-08,-0.004216986,2.5904708,5.756463,34.834488,34.834488,0.013038891,-0.29199708,0.01965528,-0.0012837182,-0.00946382,-0.01546895,0.07773581,0.07709494,1,0
0.10915268,0.12362016,0,0.21877714,0.035769165,0.05044733,0,0,-0.0007517293,-0.013861075,6130.6514,6690,3,6,False,34.834488,0.013093052,-0.006287534,13.864885,-5.587935E-08,-0.004320535,2.5904708,5.756463,34.834488,34.834488,0.0131099345,-0.3156659,0.021003947,-0.00032467282,-0.009496793,-0.017663058,0.077709675,0.07704806,1,0
