MAIRA Recording v3
Mazda MX-5 Cup @ Summit Point Raceway -  (1%, 84s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,WheelPosition,WheelVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,TrackPosition,YawNorth,VelocityX,Speed
-0.45053306,-0.61385584,0.012174606,0.09608712,0.019769201,0.034096286,-0.00074768066,0.0402832,0,0,0.00046312818,0.009786396,6531.2544,7200,4,6,False,47.71344,-0.011048719,0.009916215,17.278645,-0.30475342,22.418434,3.4672594,47.71344,47.71344
-0.45053306,-0.5501301,0.07294655,0.09608712,0.019769201,0.034096286,-0.00074768066,0.0402832,0,0,0.00046312818,0.009786396,6531.2544,7200,4,6,False,47.71344,-0.011048719,0.009916215,17.278645,-0.30475342,22.418434,3.4672594,47.71344,47.71344
-0.45053306,-0.5144199,0.046157837,0.09608712,0.019769201,0.034096286,-0.00074768066,0.0402832,0,0,0.00046312818,0.009786396,6531.2544,7200,4,6,False,47.71344,-0.011048719,0.009916215,17.278645,-0.30475342,22.418434,3.4672594,47.71344,47.71344
-0.45053306,-0.49564913,-0.039409637,0.09608712,0.019769201,0.034096286,-0.00074768066,0.0402832,0,0,0.00046312818,0.009786396,6531.2544,7200,4,6,False,47.71344,-0.011048719,0.009916215,17.278645,-0.30475342,22.418434,3.4672594,47.71344,47.71344
-0.45053306,-0.4709592,-0.0035533905,0.09608712,0.019769201,0.034096286,-0.00074768066,0.0402832,0,0,0.00046312818,0.009786396,6531.2544,7200,4,6,False,47.71344,-0.011048719,0.009916215,17.278645,-0.30475342,22.418434,3.4672594,47.71344,47.71344
-0.45053306,-0.45053306,0.06975174,0.09608712,0.019769201,0.034096286,-0.00074768066,0.0402832,0,0,0.00046312818,0.009786396,6531.2544,7200,4,6,False,47.71344,-0.011048719,0.009916215,17.278645,-0.30475342,22.418434,3.4672594,47.71344,47.71344
-0.13857158,-0.4120884,0.052316666,0.098150164,0.012651933,0.04375466,-0.0001373291,0.03662109,0,0.00038013794,0.00079208415,-0.00038013794,6527.4097,7200,4,6,False,47.73122,-0.018903572,0.004837932,17.278645,-0.30469698,23.213776,3.46696,47.73122,47.73122
-0.13857158,-0.3327495,0.04455757,0.098150164,0.012651933,0.04375466,-0.0001373291,0.03662109,0,0.00038013794,0.00079208415,-0.00038013794,6527.4097,7200,4,6,False,47.73122,-0.018903572,0.004837932,17.278645,-0.30469698,23.213776,3.46696,47.73122,47.73122
-0.13857158,-0.24900678,-0.023805618,0.098150164,0.012651933,0.04375466,-0.0001373291,0.03662109,0,0.00038013794,0.00079208415,-0.00038013794,6527.4097,7200,4,6,False,47.73122,-0.018903572,0.004837932,17.278645,-0.30469698,23.213776,3.46696,47.73122,47.73122
-0.13857158,-0.20269541,-0.059728622,0.098150164,0.012651933,0.04375466,-0.0001373291,0.03662109,0,0.00038013794,0.00079208415,-0.00038013794,6527.4097,7200,4,6,False,47.73122,-0.018903572,0.004837932,17.278645,-0.30469698,23.213776,3.46696,47.73122,47.73122
-0.13857158,-0.17576864,0.022140503,0.098150164,0.012651933,0.04375466,-0.0001373291,0.03662109,0,0.00038013794,0.00079208415,-0.00038013794,6527.4097,7200,4,6,False,47.73122,-0.018903572,0.004837932,17.278645,-0.30469698,23.213776,3.46696,47.73122,47.73122
-0.13857158,-0.13857158,0.020492554,0.098150164,0.012651933,0.04375466,-0.0001373291,0.03662109,0,0.00038013794,0.00079208415,-0.00038013794,6527.4097,7200,4,6,False,47.73122,-0.018903572,0.004837932,17.278645,-0.30469698,23.213776,3.46696,47.73122,47.73122
-0.38084343,-0.10695097,-0.00904274,0.07876787,0.04383055,0.041955147,0.00035095215,0.029296873,0,0.001857454,0.00092602475,-0.001857454,6520.539,7200,4,6,False,47.74708,-0.022107488,0.0009679606,17.278645,-0.23219828,24.009415,3.4666886,47.747078,47.74708
-0.38084343,-0.0066790683,0.02837181,0.07876787,0.04383055,0.041955147,0.00035095215,0.029296873,0,0.001857454,0.00092602475,-0.001857454,6520.539,7200,4,6,False,47.74708,-0.022107488,0.0009679606,17.278645,-0.23219828,24.009415,3.4666886,47.747078,47.74708
-0.38084343,0.019520389,0.02837181,0.07876787,0.04383055,0.041955147,0.00035095215,0.029296873,0,0.001857454,0.00092602475,-0.001857454,6520.539,7200,4,6,False,47.74708,-0.022107488,0.0009679606,17.278645,-0.23219828,24.009415,3.4666886,47.747078,47.74708
-0.38084343,-0.14067759,0.02837181,0.07876787,0.04383055,0.041955147,0.00035095215,0.029296873,0,0.001857454,0.00092602475,-0.001857454,6520.539,7200,4,6,False,47.74708,-0.022107488,0.0009679606,17.278645,-0.23219828,24.009415,3.4666886,47.747078,47.74708
-0.38084343,-0.3229549,0.02837181,0.07876787,0.04383055,0.041955147,0.00035095215,0.029296873,0,0.001857454,0.00092602475,-0.001857454,6520.539,7200,4,6,False,47.74708,-0.022107488,0.0009679606,17.278645,-0.23219828,24.009415,3.4666886,47.747078,47.74708
