MAIRA Recording v5
Porsche 911 Cup (992.2) @ Circuit de Spa-Francorchamps - Grand Prix (148s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,RedlineRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-0.349096,-0.5056492,0.000749588,0.42638716,0.012934029,0.036366742,0,0,0,0.025634548,8166.753,8500,8750,3,6,False,42.619934,0.0073326826,0.010884177,7.946477,-0.07249876,0.005516603,0.38450906,5.760268,42.619934,42.619934,0.009137699,-0.059433118,0.02147342,-0.022669557,0.036366742,0.026448283,0.033029903,0.033084013,1,0
-0.349096,-0.50693923,-0.001499176,0.42638716,0.012934029,0.036366742,0,0,0,0.025634548,8166.753,8500,8750,3,6,False,42.619934,0.0073326826,0.010884177,7.946477,-0.07249876,0.005391046,0.38450906,5.760268,42.619934,42.619934,0.008766923,-0.11260997,0.02271118,-0.023936609,0.027532862,0.020593707,0.0331212,0.033156916,1,0
-0.349096,-0.4513105,-0.0035190582,0.42638716,0.012934029,0.036366742,0,0,0,0.025634548,8166.753,8500,8750,3,6,False,42.619934,0.0073326826,0.010884177,7.946477,-0.07249876,0.0052422285,0.38450906,5.760268,42.619934,42.619934,0.008402983,-0.116095245,0.023199122,-0.024767024,0.020758703,0.013542276,0.03318524,0.033206973,1,0
-0.349096,-0.4012804,-0.0053043365,0.42638716,0.012934029,0.036366742,0,0,0,0.025634548,8166.753,8500,8750,3,6,False,42.619934,0.0073326826,0.010884177,7.946477,-0.07249876,0.0050959922,0.38450906,5.760268,42.619934,42.619934,0.008052586,-0.11690959,0.023313425,-0.025359852,0.015492537,0.00674553,0.03323408,0.033234738,1,0
-0.349096,-0.36989564,-0.0047340393,0.42638716,0.012934029,0.036366742,0,0,0,0.025634548,8166.753,8500,8750,3,6,False,42.619934,0.0073326826,0.010884177,7.946477,-0.07249876,0.0049762935,0.38450906,5.760268,42.619934,42.619934,0.0076868795,-0.12666827,0.022800023,-0.025888406,0.010995023,0.0006277212,0.033270355,0.033244517,1,0
-0.349096,-0.349096,-0.0032539368,0.42638716,0.012934029,0.036366742,0,0,0,0.025634548,8166.753,8500,8750,3,6,False,42.619934,0.0073326826,0.010884177,7.946477,-0.07249876,0.004876414,0.38450906,5.760268,42.619934,42.619934,0.0073326826,-0.1268395,0.021645933,-0.026411783,0.006539933,-0.004673465,0.033294976,0.033238184,1,0
-0.15842736,-0.23494537,0.0047035217,0.42464727,0.011259926,0.031171154,0,0,0,0.019817125,8182.3335,8500,8750,3,6,False,42.687073,0.0055340286,0.0070142066,7.946477,-0.23219821,0.0047953585,1.0946219,5.7601795,42.687073,42.687073,0.0070077665,-0.11898348,0.019827932,-0.026938448,0.0022975004,-0.0089429235,0.033306986,0.033218425,1,0
-0.15842736,-0.2069309,0.0052986145,0.42464727,0.011259926,0.031171154,0,0,0,0.019817125,8182.3335,8500,8750,3,6,False,42.687073,0.0055340286,0.0070142066,7.946477,-0.23219821,0.0047341865,1.0946219,5.7601795,42.687073,42.687073,0.006717181,-0.10949656,0.017343132,-0.027528275,-0.0016945531,-0.012087197,0.033307895,0.033188228,1,0
-0.15842736,-0.21181586,0.004890442,0.42464727,0.011259926,0.031171154,0,0,0,0.019817125,8182.3335,8500,8750,3,6,False,42.687073,0.0055340286,0.0070142066,7.946477,-0.23219821,0.004698885,1.0946219,5.7601795,42.687073,42.687073,0.006429065,-0.10799985,0.01420689,-0.02820325,-0.0057564992,-0.014620276,0.033297915,0.033150688,1,0
-0.15842736,-0.20934226,0.0014228821,0.42464727,0.011259926,0.031171154,0,0,0,0.019817125,8182.3335,8500,8750,3,6,False,42.687073,0.0055340286,0.0070142066,7.946477,-0.23219821,0.004700907,1.0946219,5.7601795,42.687073,42.687073,0.006124746,-0.11432816,0.010529963,-0.02895579,-0.0096103065,-0.016968677,0.033276282,0.03310681,1,0
