MAIRA Recording v4
FIA F4 @ Mount Panorama Circuit -  (149s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
0.33807912,-0.2267836,0,0.36437252,0.03318256,0.033940565,0,0,0.00094724714,0.05146602,6989.868,6500,3,6,False,38.06334,-0.018027693,0.013543963,6.719512,-0.14510962,-0.0003758257,11.99246,4.880071,38.063335,38.06334,-0.017125752,0.3634424,-0.0115856575,-0.00015133145,0.005506103,0.0055078673,0.013510658,0.014407466,1,0
0.33807912,-0.1563539,0,0.36437252,0.03318256,0.033940565,0,0,0.00094724714,0.05146602,6989.868,6500,3,6,False,38.06334,-0.018027693,0.013543963,6.719512,-0.14510962,-0.00018955002,11.99246,4.880071,38.063335,38.06334,-0.017285526,0.3431343,-0.01653282,0.00064766884,0.0027675764,0.0016857894,0.013524575,0.014420374,1,0
0.33807912,-0.07106683,0,0.36437252,0.03318256,0.033940565,0,0,0.00094724714,0.05146602,6989.868,6500,3,6,False,38.06334,-0.018027693,0.013543963,6.719512,-0.14510962,-1.82944E-05,11.99246,4.880071,38.063335,38.06334,-0.017460555,0.34293905,-0.021731237,0.0020172566,-0.0008652226,-0.003900677,0.013528042,0.014420325,1,0
0.33807912,0.02515147,0,0.36437252,0.03318256,0.033940565,0,0,0.00094724714,0.05146602,6989.868,6500,3,6,False,38.06334,-0.018027693,0.013543963,6.719512,-0.14510962,0.00024563677,11.99246,4.880071,38.063335,38.06334,-0.017565697,0.37380928,-0.025869707,0.00411679,-0.0028706144,-0.00088177633,0.0135206655,0.014402918,1,0
0.33807912,0.15011513,0,0.36437252,0.03318256,0.033940565,0,0,0.00094724714,0.05146602,6989.868,6500,3,6,False,38.06334,-0.018027693,0.013543963,6.719512,-0.14510962,0.0004244027,11.99246,4.880071,38.063335,38.06334,-0.017755851,0.35089955,-0.033509262,0.006070991,-0.0024891037,0.0053096483,0.013512576,0.014403385,1,0
0.33807912,0.33807912,0,0.36437252,0.03318256,0.033940565,0,0,0.00094724714,0.05146602,6989.868,6500,3,6,False,38.06334,-0.018027693,0.013543963,6.719512,-0.14510962,0.0005016479,11.99246,4.880071,38.063335,38.06334,-0.018027693,0.32540977,-0.043008436,0.0077069914,0.0056955237,0.013061435,0.013507044,0.014428046,1,0
-0.22716716,0.5895654,0,0.35560524,0.049373735,0.046261664,0,0,0.00093961257,0.035837676,6987.7563,6500,3,6,False,38.11612,-0.017907191,0.010641952,6.719512,-0.17412068,0.0006848389,12.62705,4.880039,38.116116,38.11612,-0.01818258,0.36826915,-0.04822607,0.008394113,0.016272238,0.020818379,0.01353495,0.014476924,1,0
-0.22716716,0.67067736,0,0.35560524,0.049373735,0.046261664,0,0,0.00093961257,0.035837676,6987.7563,6500,3,6,False,38.11612,-0.017907191,0.010641952,6.719512,-0.17412068,0.0010453908,12.62705,4.880039,38.116116,38.11612,-0.018183343,0.4320144,-0.048156735,0.008081056,0.02552044,0.02667615,0.013594107,0.014546259,1,0
-0.22716716,0.5653356,0,0.35560524,0.049373735,0.046261664,0,0,0.00093961257,0.035837676,6987.7563,6500,3,6,False,38.11612,-0.017907191,0.010641952,6.719512,-0.17412068,0.0015764214,12.62705,4.880039,38.116116,38.11612,-0.018054046,0.49446988,-0.0431249,0.0069140904,0.031704806,0.029394269,0.013676743,0.014628847,1,0
-0.22716716,0.31376234,0,0.35560524,0.049373735,0.046261664,0,0,0.00093961257,0.035837676,6987.7563,6500,3,6,False,38.11612,-0.017907191,0.010641952,6.719512,-0.17412068,0.002175296,12.62705,4.880039,38.116116,38.11612,-0.017900135,0.5260366,-0.03522379,0.0052965255,0.036189552,0.030671684,0.013772558,0.014714951,1,0
-0.22716716,0.01333724,0,0.35560524,0.049373735,0.046261664,0,0,0.00093961257,0.035837676,6987.7563,6500,3,6,False,38.11612,-0.017907191,0.010641952,6.719512,-0.17412068,0.0027083997,12.62705,4.880039,38.116116,38.11612,-0.017830469,0.5186701,-0.027078321,0.003291456,0.04086455,0.0323914,0.013879167,0.014801963,1,0
-0.22716716,-0.22716716,0,0.35560524,0.049373735,0.046261664,0,0,0.00093961257,0.035837676,6987.7563,6500,3,6,False,38.11612,-0.017907191,0.010641952,6.719512,-0.17412068,0.0030901427,12.62705,4.880039,38.116116,38.11612,-0.017907191,0.48419094,-0.02032421,0.00062129094,0.046261664,0.032026537,0.0139992,0.014893181,1,0
-0.96337664,-0.4599603,0,0.34869456,0.035093058,0.05323414,0,0,0.0010534093,0.02644902,6992.1626,6500,3,6,False,38.167667,-0.020103086,0.0082234545,6.719512,-0.14510985,0.003394273,13.262472,4.879984,38.167664,38.167667,-0.018056609,0.47146985,-0.01305303,-0.0026030538,0.050440792,0.03146059,0.014133937,0.014982235,1,0
-0.96337664,-0.62056535,0,0.34869456,0.035093058,0.05323414,0,0,0.0010534093,0.02644902,6992.1626,6500,3,6,False,38.167667,-0.020103086,0.0082234545,6.719512,-0.14510985,0.003634896,13.262472,4.879984,38.167664,38.167667,-0.01828013,0.4555042,-0.0057352474,-0.0061428016,0.052823007,0.030775955,0.014278902,0.015069125,1,0
-0.96337664,-0.7559724,0,0.34869456,0.035093058,0.05323414,0,0,0.0010534093,0.02644902,6992.1626,6500,3,6,False,38.167667,-0.020103086,0.0082234545,6.719512,-0.14510985,0.0038163424,13.262472,4.879984,38.167664,38.167667,-0.018586423,0.43475786,0.00089056604,-0.009800528,0.05323414,0.029952044,0.014428414,0.015153508,1,0
-0.96337664,-0.87701166,0,0.34869456,0.035093058,0.05323414,0,0,0.0010534093,0.02644902,6992.1626,6500,3,6,False,38.167667,-0.020103086,0.0082234545,6.719512,-0.14510985,0.0039358367,13.262472,4.879984,38.167664,38.167667,-0.01898916,0.40594137,0.006153724,-0.013405211,0.0517461,0.02976758,0.014576895,0.015235038,1,0
-0.96337664,-0.94907653,0,0.34869456,0.035093058,0.05323414,0,0,0.0010534093,0.02644902,6992.1626,6500,3,6,False,38.167667,-0.020103086,0.0082234545,6.719512,-0.14510985,0.003951263,13.262472,4.879984,38.167664,38.167667,-0.019517455,0.364169,0.009044518,-0.016866712,0.049924206,0.028588489,0.014719696,0.015316101,1,0
-0.96337664,-0.96337664,0,0.34869456,0.035093058,0.05323414,0,0,0.0010534093,0.02644902,6992.1626,6500,3,6,False,38.167667,-0.020103086,0.0082234545,6.719512,-0.14510985,0.0039461628,13.262472,4.879984,38.167664,38.167667,-0.020103086,0.34414536,0.011184158,-0.020197874,0.047146972,0.02750149,0.014856153,0.015393599,1,0
-0.7812748,-0.8967123,0,0.34635064,0.03175112,0.043913633,0,0,0.0012565752,0.018009838,7002.2397,6500,3,6,False,38.218414,-0.024012152,0.005321444,6.719512,-0.17412062,0.003935979,13.898738,4.879938,38.218407,38.218414,-0.020719972,0.33277595,0.012759649,-0.02345923,0.043913633,0.027536811,0.014983882,0.015467974,1,0
-0.7812748,-0.8631172,0,0.34635064,0.03175112,0.043913633,0,0,0.0012565752,0.018009838,7002.2397,6500,3,6,False,38.218414,-0.024012152,0.005321444,6.719512,-0.17412062,0.0038990914,13.898738,4.879938,38.218407,38.218414,-0.021375753,0.31842458,0.013355835,-0.026674723,0.040462326,0.02706736,0.01510249,0.015543308,1,0
-0.7812748,-0.8279829,0,0.34635064,0.03175112,0.043913633,0,0,0.0012565752,0.018009838,7002.2397,6500,3,6,False,38.218414,-0.024012152,0.005321444,6.719512,-0.17412062,0.0038649042,13.898738,4.879938,38.218407,38.218414,-0.022045378,0.3122579,0.0137021765,-0.029562872,0.036433324,0.024127364,0.015211188,0.015617511,1,0
