Super Formula Light @ Imola - Variante Alta
InputTorque60Hz,InputTorque500Hz
-1.8348,0.0447
-1.8348,-0.1551
-1.8348,-0.2939
-1.8348,-0.4863
-1.8348,-0.9333
-1.8348,-1.3917
-1.8348,-1.7123
-1.8348,-1.8375
-1.8348,-1.8401
-1.561,-1.7043
-1.561,-1.4775
-1.561,-1.2257
-1.561,-1.0695
-1.561,-1.1649
-1.561,-1.3661
-1.561,-1.5187
-1.561,-1.5625
-0.1387,-1.2622
-0.1387,-1.0472
-0.1387,-0.9203
-0.1387,-0.8456
-0.1387,-0.7398
-0.1387,-0.5007
-0.1387,-0.2543
-0.1387,-0.1346
-2.4492,-0.5766
-2.4492,-1.24
-2.4492,-1.8737
-2.4492,-2.3733
-2.4492,-2.6511
-2.4492,-2.7879
-2.4492,-2.6912
-2.4492,-2.4418
-2.4492,-2.4422
-2.3485,-2.0394
-2.3485,-2.1542
-2.3485,-2.3456
-2.3485,-2.4673
-2.3485,-2.3781
-2.3485,-2.2904
-2.3485,-2.2807
-2.3485,-2.3502
-3.7931,-2.2095
-3.7931,-1.6921
-3.7931,-0.55
-3.7931,0.3251
-3.7931,0.7381
-3.7931,-0.1763
-3.7931,-1.9655
-3.7931,-3.85
-1.7484,-5.2623
-1.7484,-5.0465
-1.7484,-4.33
-1.7484,-3.5499
-1.7484,-3.2497
-1.7484,-2.8253
-1.7484,-2.2728
-1.7484,-1.733
-1.7484,-1.7322
2.0517,-1.8019
2.0517,-2.0061
2.0517,-1.8161
2.0517,-1.237
2.0517,-0.4093
2.0517,0.6001
2.0517,1.5228
2.0517,2.064
-1.1159,1.6617
-1.1159,1.0788
-1.1159,0.5823
-1.1159,0.2215
-1.1159,-0.0202
-1.1159,-0.4095
-1.1159,-0.8264
-1.1159,-1.1218
-0.2292,-0.7939
-0.2292,-0.1605
-0.2292,0.0546
-0.2292,-0.1361
-0.2292,-0.5199
-0.2292,-0.4708
-0.2292,-0.3216
-0.2292,-0.2269
-0.2292,-0.2261
1.3477,-0.3929
1.3477,-0.2132
1.3477,0.1311
1.3477,0.532
1.3477,0.89
1.3477,1.2076
1.3477,1.3532
1.3477,1.3483
-0.7147,0.7063
-0.7147,0.1104
-0.7147,-0.2067
-0.7147,-0.2029
-0.7147,0.0543
-0.7147,0.0062
-0.7147,-0.3015
-0.7147,-0.7284
-2.0057,-0.8503
-2.0057,-0.6385
-2.0057,-0.5338
-2.0057,-0.6086
-2.0057,-0.8657
-2.0057,-1.1189
-2.0057,-1.5113
-2.0057,-2.0145
-2.0057,-2.0234
-0.4902,-3.0585
-0.4902,-3.485
-0.4902,-3.1873
-0.4902,-2.3781
-0.4902,-1.3995
-0.4902,-0.8086
-0.4902,-0.53
-0.4902,-0.4886
-2.6736,-0.3593
-2.6736,-0.3116
-2.6736,-0.5157
-2.6736,-0.965
-2.6736,-1.6302
-2.6736,-2.0905
-2.6736,-2.4372
-2.6736,-2.6808
-4.2712,-3.3105
-4.2712,-3.6238
-4.2712,-3.7053
-4.2712,-3.6503
-4.2712,-3.649
-4.2712,-3.7665
-4.2712,-4.0007
-4.2712,-4.278
-4.2712,-4.2802
-1.2205,-4.7496
-1.2205,-5.1797
-1.2205,-5.0579
-1.2205,-4.3133
-1.2205,-3.0074
-1.2205,-1.8232
-1.2205,-1.1988
-1.2205,-1.2179
-2.03,-1.7285
-2.03,-1.8806
-2.03,-1.8298
-2.03,-1.7587
-2.03,-1.9363
-2.03,-2.1306
-2.03,-2.1623
-2.03,-2.0264
-2.1223,-1.9309
-2.1223,-2.1044
-2.1223,-2.25
-2.1223,-2.2856
-2.1223,-2.1486
-2.1223,-2.0336
-2.1223,-2.0293
-2.1223,-2.1242
-2.1223,-2.1249
2.3186,-2.5661
2.3186,-3.2697
2.3186,-3.7988
2.3186,-3.7297
2.3186,-2.6285
2.3186,-0.8798
2.3186,0.9462
2.3186,2.3436
1.6887,2.5616
1.6887,1.9862
1.6887,1.6341
1.6887,1.6288
1.6887,1.964
1.6887,2.0178
1.6887,1.8901
1.6887,1.6818
1.6887,1.6829
-3.0259,1.4627
-3.0259,1.426
-3.0259,1.2073
-3.0259,0.791
-3.0259,0.1656
-3.0259,-0.8144
-3.0259,-2.0156
-3.0259,-3.0534
2.8836,-3.0293
2.8836,-1.7493
2.8836,-0.2346
2.8836,1.1039
2.8836,1.889
2.8836,2.2779
2.8836,2.5843
2.8836,2.8877
0.9831,3.053
0.9831,2.5868
0.9831,1.9286
0.9831,1.3996
0.9831,1.2003
0.9831,1.1828
0.9831,1.1217
0.9831,0.9798
0.9831,0.9788
-1.0343,0.5487
-1.0343,0.4204
-1.0343,0.3568
-1.0343,0.2611
-1.0343,0.0323
-1.0343,-0.308
-1.0343,-0.6987
-1.0343,-1.0472
1.3944,-1.3415
1.3944,-1.517
1.3944,-1.4235
1.3944,-1.012
1.3944,-0.283
1.3944,0.5063
1.3944,1.082
1.3944,1.4069
1.4907,1.6503
1.4907,1.6151
1.4907,1.4523
1.4907,1.2138
1.4907,0.9934
1.4907,0.9924
1.4907,1.2093
1.4907,1.4999
1.4907,1.4994
0.674,1.8569
0.674,1.8591
0.674,1.8314
0.674,1.8041
0.674,1.7573
0.674,1.4555
0.674,1.0756
0.674,0.6624
3.5508,0.6188
3.5508,0.9364
3.5508,1.4043
3.5508,1.9318
3.5508,2.3754
3.5508,2.751
3.5508,3.1551
3.5508,3.5652
3.7609,4.0855
3.7609,4.0053
3.7609,3.8235
3.7609,3.6959
3.7609,3.7793
3.7609,3.9332
3.7609,3.9338
3.7609,3.7565
3.1717,3.3757
3.1717,3.3316
3.1717,3.4431
3.1717,3.5726
3.1717,3.5216
3.1717,3.4027
3.1717,3.2693
3.1717,3.1695
3.1717,3.1683
4.9881,3.0693
4.9881,3.0891
4.9881,3.3016
4.9881,3.6898
4.9881,4.1821
4.9881,4.6204
4.9881,4.8916
4.9881,4.9914
4.5299,4.8998
4.5299,4.8492
4.5299,4.8529
4.5299,4.8845
4.5299,4.895
4.5299,4.8413
4.5299,4.6986
4.5299,4.5251
3.7156,4.2136
3.7156,3.9897
3.7156,3.7453
3.7156,3.5302
3.7156,3.4203
3.7156,3.4595
3.7156,3.5869
3.7156,3.7184
3.7156,3.7196
4.5119,3.7732
4.5119,3.7043
4.5119,3.6975
4.5119,3.8012
4.5119,4.0537
4.5119,4.2883
4.5119,4.4447
4.5119,4.5134
4.6619,4.6164
4.6619,4.675
4.6619,4.6904
4.6619,4.6762
4.6619,4.654
4.6619,4.6641
4.6619,4.6702
4.6619,4.6617
4.0198,4.5516
4.0198,4.4153
4.0198,4.2742
4.0198,4.1504
4.0198,4.0738
4.0198,4.0153
4.0198,3.9999
4.0198,4.0203
4.0198,4.0203
5.0131,4.2263
5.0131,4.31
5.0131,4.3461
5.0131,4.3645
5.0131,4.4149
5.0131,4.5299
5.0131,4.7521
5.0131,5.0226
6.579,5.5594
6.579,5.9221
6.579,6.1273
6.579,6.2116
6.579,6.2579
6.579,6.3609
6.579,6.4855
6.579,6.5822
6.579,6.5822
6.6723,6.5133
6.6723,6.3692
6.6723,6.3013
6.6723,6.336
6.6723,6.4608
6.6723,6.5722
6.6723,6.6451
6.6723,6.6732
6.5877,6.7134
6.5877,6.7454
6.5877,6.738
6.5877,6.6928
6.5877,6.6252
6.5877,6.5676
6.5877,6.5552
6.5877,6.5882
8.1165,6.7686
8.1165,6.9175
8.1165,7.031
8.1165,7.1204
8.1165,7.2275
8.1165,7.458
8.1165,7.7901
8.1165,8.1274
8.4667,8.2982
8.4667,8.1819
8.4667,8.1103
8.4667,8.1609
8.4667,8.3691
8.4667,8.5292
