BMW M4 GT3,baseline,hard
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
0,,,,,,,,,,,,,,,,,
1,1.165552,1.105440,1.041210,0.984228,0.915627,0.861411,0.787742,0.725909,0.653205,0.589578,0.529527,0.461621,0.397256,0.334901,0.268292,0.207596,0.143436
2,2.321702,2.199155,2.063038,1.937778,1.809362,1.676670,1.538121,1.416126,1.281705,1.159270,1.035049,0.899764,0.771566,0.639305,0.517098,0.387224,0.259615
3,3.496910,3.301035,3.093033,2.903588,2.701360,2.511358,2.310481,2.114351,1.922889,1.724381,1.543978,1.348259,1.155033,0.956125,0.766288,0.570271,0.381383
4,4.663603,4.395004,4.121985,3.873618,3.613303,3.352790,3.082924,2.824846,2.562588,2.307927,2.057206,1.786656,1.528164,1.273579,1.006305,0.750765,0.491870
5,5.799361,5.465018,5.142001,4.823841,4.512006,4.180726,3.857275,3.539997,3.217143,2.899234,2.579745,2.246696,1.899013,1.573270,1.235618,0.916594,0.603243
6,6.977264,6.581162,6.179494,5.787471,5.399336,5.005241,4.612386,4.218709,3.837546,3.444669,3.067532,2.677363,2.292947,1.904094,1.514485,1.133548,0.745773
7,8.138268,7.673401,7.214472,6.763162,6.310378,5.838501,5.377026,4.920583,4.459891,4.013700,3.574909,3.121444,2.673331,2.219089,1.760825,1.313139,0.857364
8,9.287698,8.758613,8.228004,7.705546,7.191887,6.664206,6.137199,5.624321,5.101723,4.587267,4.077264,3.558334,3.049645,2.528336,2.016361,1.500271,0.992655
9,10.437548,9.845231,9.251740,8.662936,8.090155,7.493985,6.912714,6.320158,5.734743,5.156543,4.589239,4.000047,3.424207,2.847316,2.269722,1.689334,1.112402
10,11.534019,10.885015,10.241902,9.600858,8.974062,8.325321,7.689056,7.040194,6.404341,5.760535,5.090978,4.424312,3.746811,3.120829,2.490960,1.879906,1.241123
11,12.715289,12.001835,11.275778,10.565008,9.842103,9.132182,8.411824,7.698690,6.993102,6.275028,5.578297,4.868134,4.164051,3.453363,2.749438,2.043336,1.341045
12,13.870305,13.094366,12.299967,11.524489,10.732140,9.957639,9.176020,8.399153,7.621631,6.847338,6.073356,5.307766,4.538180,3.761970,2.994958,2.228261,1.461997
13,15.012462,14.153543,13.314530,12.471025,11.617197,10.780925,9.932076,9.094988,8.257779,7.419666,6.581794,5.752165,4.918608,4.081736,3.249033,2.417776,1.586818
14,16.170914,15.246204,14.344059,13.418939,12.520340,11.616168,10.701745,9.800484,8.897919,7.992491,7.092835,6.190162,5.295682,4.396814,3.502364,2.607997,1.711859
15,17.326132,16.336929,15.368031,14.380297,13.411318,12.435711,11.469792,10.492146,9.536332,8.568766,7.604565,6.640497,5.677528,4.718861,3.755193,2.800270,1.840158
16,18.490150,17.430584,16.374760,15.344193,14.308566,13.268125,12.232222,11.195361,10.162680,9.143579,8.111682,7.083959,6.060010,5.036205,4.013130,2.989000,1.970052
17,19.640776,18.523817,17.402815,16.304363,15.207530,14.096107,12.990434,11.898448,10.802639,9.706096,8.615240,7.529349,6.441550,5.353318,4.267867,3.179359,2.094575
18,20.776188,19.606464,18.428701,17.265633,16.085657,14.928966,13.759641,12.601408,11.438776,10.282794,9.126506,7.975945,6.821740,5.670640,4.520226,3.374098,2.220214
19,21.748390,20.559284,19.360828,18.161831,16.954857,15.778168,14.586877,13.336382,12.211610,11.019423,9.665236,8.431191,7.197562,5.985782,4.775328,3.558589,2.347964
20,22.888947,21.618530,20.370825,19.119539,17.845551,16.593365,15.327357,14.072791,12.753055,11.361735,10.043900,8.773716,7.518750,6.243871,4.947799,3.677483,2.401815
21,24.141432,22.773518,21.402334,20.033888,18.687214,17.323183,15.988729,14.635835,13.270211,11.926448,10.588888,9.236111,7.888678,6.554423,5.201372,3.860913,2.523193
22,25.284290,23.847197,22.427120,20.994398,19.587469,18.158493,16.749332,15.334380,13.907910,12.503220,11.102667,9.687306,8.276262,6.879260,5.457808,4.057587,2.651000
