Lamborghini Huracan GT3 EVO,baseline,hard
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
0,,,,,,,,,,,,,,,,,
1,1.059254,0.967955,0.917720,0.870362,0.819404,0.771225,0.717533,0.661349,0.602754,0.547846,0.493166,0.421175,0.370857,0.315020,0.266867,0.153018,0.105580
2,2.121912,2.003605,1.902147,1.775474,1.654626,1.530753,1.409926,1.303747,1.182993,1.061126,0.938293,0.820469,0.703051,0.580786,0.468084,0.348125,0.231750
3,3.188262,3.012223,2.833559,2.652069,2.468053,2.284758,2.108399,1.934566,1.758631,1.576481,1.399594,1.231542,1.050776,0.870739,0.693222,0.520903,0.338276
4,4.249423,4.011724,3.770661,3.529566,3.285869,3.053046,2.813468,2.586661,2.345496,2.101110,1.862078,1.620528,1.384532,1.143613,0.898761,0.665881,0.432437
5,5.295809,5.011692,4.709022,4.418627,4.115864,3.822088,3.530014,3.234175,2.935140,2.634959,2.327059,2.016475,1.721896,1.392542,1.096598,0.802987,0.514798
6,6.348581,5.996529,5.631600,5.267744,4.910363,4.551667,4.206038,3.842257,3.485893,3.129290,2.769324,2.422689,2.065037,1.708466,1.355397,1.002665,0.649807
7,7.360371,6.971608,6.558496,6.139255,5.712230,5.287810,4.869639,4.449496,4.032170,3.619134,3.204252,2.810039,2.393759,1.983818,1.563931,1.152342,0.735075
8,8.420605,7.955772,7.475109,6.992545,6.510611,6.037116,5.571807,5.093400,4.617002,4.142642,3.671983,3.201083,2.734910,2.254888,1.784246,1.312142,0.840078
9,9.481524,8.942242,8.400883,7.860359,7.325050,6.788064,6.261404,5.722335,5.191341,4.652253,4.129167,3.597116,3.066512,2.530846,2.000113,1.475055,0.944146
10,10.493372,9.904939,9.313433,8.728929,8.138690,7.550350,6.977522,6.384707,5.788471,5.171762,4.510359,3.869102,3.275743,2.716620,2.179383,1.621237,1.028093
11,11.484999,10.839258,10.182731,9.528886,8.871439,8.217669,7.563241,6.918629,6.267726,5.616668,4.964700,4.320110,3.678528,3.023512,2.378643,1.732586,1.092854
12,12.532216,11.810043,11.096433,10.394773,9.682611,8.971499,8.257077,7.542393,6.844640,6.133831,5.422069,4.714728,4.007026,3.306263,2.601567,1.894508,1.192323
13,13.592960,12.813758,12.039503,11.263617,10.491814,9.734834,8.961678,8.185397,7.419495,6.649117,5.891102,5.118983,4.357390,3.587842,2.829797,2.064213,1.300569
14,14.729782,13.831437,12.976979,12.149400,11.263267,10.574242,9.644057,8.742972,8.047034,7.195109,6.402313,5.474912,4.809512,3.839568,2.974832,2.311450,1.442722
15,15.739388,14.780149,13.891840,13.068825,12.176962,11.220033,10.329310,9.511218,8.558931,7.699431,6.848540,5.978835,5.042390,4.155951,3.308232,2.425111,1.567484
16,16.769493,15.788077,14.848173,13.946994,12.987269,12.037208,11.067264,10.131698,9.188699,8.194386,7.305655,6.368572,5.366210,4.421273,3.566521,2.626239,1.679435
17,17.783968,16.849260,15.861366,14.784968,13.769380,12.832281,11.820471,10.740306,9.814747,8.743443,7.731561,6.753472,5.730763,4.731880,3.777424,2.787568,1.739344
18,18.865562,17.846659,16.766510,15.632671,14.559155,13.563988,12.523199,11.366636,10.387506,9.319683,8.184522,7.124046,6.129923,5.070379,3.967371,2.918105,1.830565
19,19.893700,18.739290,17.647245,16.568132,15.481367,14.345450,13.210241,12.238038,11.187641,9.940001,8.707438,7.533502,6.513144,5.389938,4.175873,3.059799,1.937285
20,20.920443,19.721565,18.565805,17.495159,16.311127,15.108881,13.965915,12.821684,11.414128,10.140922,8.903910,7.776680,6.640498,5.460792,4.210551,3.072289,1.981161
21,21.833485,20.586239,19.386492,18.102966,16.850769,15.651536,14.394936,13.125005,11.902569,10.688673,9.448259,8.203978,6.991899,5.714290,4.459567,3.268554,2.079058
22,22.868084,21.633514,20.337156,18.959583,17.672760,16.425158,15.074518,13.750200,12.524573,11.194403,9.906363,8.626399,7.350432,5.998003,4.687395,3.447897,2.173302
