Porsche 911 GT3 R (992),baseline,hard
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
0,,,,,,,,,,,,,,,,,
1,1.079844,1.020106,0.904458,0.842034,0.797104,0.739192,0.646382,0.597372,0.530137,0.475771,0.422384,0.365107,0.315937,0.299695,0.210691,0.174390,0.104403
2,2.196713,2.072558,1.929339,1.812136,1.695135,1.574521,1.443773,1.327048,1.202443,1.075994,0.957321,0.846181,0.712735,0.608245,0.474370,0.360732,0.229671
3,3.295802,3.111509,2.915015,2.732912,2.559591,2.372880,2.180571,2.002541,1.811606,1.625771,1.448270,1.269110,1.076771,0.898613,0.717148,0.534556,0.352586
4,4.397821,4.145061,3.895126,3.651137,3.414310,3.171190,2.914748,2.674296,2.420068,2.183377,1.938286,1.687772,1.450132,1.200765,0.946861,0.717257,0.463679
5,5.489559,5.184323,4.877870,4.573094,4.275814,3.970909,3.653381,3.350938,3.035479,2.727034,2.406866,2.092391,1.776016,1.459818,1.152097,0.855744,0.553304
6,6.560196,6.193200,5.818607,5.448863,5.089769,4.720495,4.345193,3.980635,3.608534,3.247370,2.877249,2.514782,2.144508,1.777816,1.415571,1.046165,0.681323
7,7.627647,7.203708,6.768974,6.347011,5.918026,5.487060,5.046440,4.612691,4.177143,3.744351,3.320313,2.905554,2.472301,2.058171,1.644522,1.212713,0.789366
8,8.717999,8.225385,7.723336,7.239038,6.753428,6.263774,5.765133,5.279956,4.785161,4.306003,3.810417,3.329525,2.835808,2.350166,1.860204,1.371837,0.889159
9,9.804187,9.252537,8.704627,8.138821,7.595517,7.043782,6.482892,5.935957,5.379623,4.840502,4.285423,3.739026,3.188666,2.641890,2.093497,1.543473,0.999466
10,10.887989,10.287901,9.693512,9.078280,8.482816,7.882476,7.271659,6.665314,6.031169,5.403864,4.713265,4.044916,3.417202,2.811438,2.251544,1.682981,1.103534
11,11.904160,11.228375,10.546106,9.877839,9.211045,8.536709,7.854157,7.190716,6.513799,5.841806,5.173364,4.506920,3.837416,3.169629,2.498648,1.831961,1.166416
12,12.996819,12.260462,11.513364,10.780111,10.037922,9.305093,8.576245,7.845303,7.109217,6.378739,5.652637,4.916671,4.194597,3.464838,2.730772,2.002431,1.277011
13,14.087732,13.291369,12.500743,11.706470,10.899887,10.106013,9.313877,8.509496,7.723343,6.929775,6.132589,5.346584,4.550923,3.761196,2.972514,2.182490,1.391647
14,15.191509,14.332328,13.481341,12.607740,11.756448,10.898023,10.030414,9.179316,8.333524,7.475783,6.617645,5.769928,4.914334,4.062582,3.212520,2.361973,1.510004
15,16.300373,15.376245,14.445484,13.528148,12.613748,11.696572,10.766065,9.854483,8.932077,8.017059,7.106702,6.189556,5.283293,4.368650,3.452106,2.542605,1.630966
16,17.406866,16.420576,15.427908,14.450487,13.457725,12.479815,11.500897,10.528419,9.545329,8.566113,7.595702,6.616294,5.645401,4.669495,3.699692,2.725518,1.752635
17,18.493109,17.449373,16.410923,15.370165,14.317822,13.277159,12.234913,11.190891,10.157663,9.117801,8.079097,7.046055,6.007037,4.974035,3.942212,2.906099,1.874131
18,19.604624,18.493578,17.397635,16.278797,15.178269,14.075625,12.960409,11.864489,10.759668,9.660486,8.567616,7.474107,6.374894,5.278727,4.187110,3.087618,1.994049
19,20.736191,19.603342,18.466742,17.351696,16.204639,15.051057,13.899865,12.805312,11.772206,10.612305,9.204906,7.923151,6.746397,5.587090,4.431087,3.276592,2.119859
20,21.853174,20.661684,19.458820,18.274035,17.064232,15.863463,14.672960,13.426036,12.130829,10.587986,9.284582,8.047539,6.951402,5.744667,4.509370,3.278217,2.058950
21,22.730541,21.422550,20.145605,18.847555,17.583496,16.279118,14.986290,13.714372,12.420114,11.134120,9.864183,8.576447,7.304281,6.023376,4.740393,3.469025,2.185524
22,23.831875,22.480095,21.137518,19.773399,18.446243,17.071537,15.725638,14.392299,13.032686,11.688151,10.356411,9.002574,7.662965,6.326868,4.985571,3.651819,2.307230
