FIA F4,baseline,hard
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
0,,,,,,,,,,,,,,,,,
1,1.765639,1.671587,1.577354,1.497362,1.386601,1.270926,1.187864,1.062023,0.964771,0.869480,0.769895,0.674238,0.568524,0.491205,0.390911,0.282896,0.199306
2,3.595760,3.350633,3.156966,2.953543,2.787132,2.589474,2.382771,2.186926,1.963260,1.759128,1.563540,1.354951,1.176458,0.967832,0.772410,0.566880,0.378507
3,5.351581,5.051027,4.742940,4.437565,4.131626,3.847999,3.543444,3.256077,2.949062,2.662553,2.368894,2.044311,1.786116,1.460685,1.167394,0.890719,0.582205
4,7.090525,6.692406,6.290168,5.904424,5.494592,5.093087,4.692172,4.308755,3.936816,3.529645,3.143340,2.763926,2.354630,1.965813,1.568711,1.155527,0.776616
5,8.825479,8.356940,7.847191,7.381653,6.866784,6.372342,5.886096,5.376163,4.888055,4.396739,3.910855,3.434116,2.944848,2.452208,1.930393,1.412227,0.935035
6,10.589902,9.983736,9.341125,8.761701,8.196521,7.631620,7.077496,6.454636,5.855736,5.279673,4.663362,4.082604,3.485694,2.920649,2.318245,1.729908,1.139037
7,12.484722,11.738157,11.025359,10.308852,9.637189,8.926565,8.234463,7.557339,6.867359,6.140282,5.472096,4.760962,4.063804,3.395706,2.711225,2.009954,1.327027
8,14.213471,13.414313,12.583649,11.764581,10.977162,10.202273,9.399315,8.611631,7.826147,7.034748,6.244710,5.446020,4.639890,3.864974,3.110740,2.305691,1.526622
9,15.846639,14.833551,14.081410,13.097356,12.179569,11.451463,10.547379,9.681828,8.801353,7.914002,7.030775,6.148056,5.267378,4.347123,3.490957,2.595472,1.734073
10,17.675627,16.700031,15.667389,14.685630,13.720165,12.695566,11.717407,10.742892,9.794226,8.833689,7.840040,6.855240,5.852717,4.767555,3.797832,2.880473,1.937096
11,19.606550,18.499853,17.357965,16.263969,15.149990,14.027317,12.898315,11.814285,10.717777,9.636517,8.534954,7.478547,6.404401,5.289009,4.244910,3.152600,2.104332
12,21.422222,20.165649,18.932087,17.721262,16.471752,15.278399,14.075951,12.901758,11.685686,10.499484,9.336396,8.163148,6.992848,5.792240,4.611960,3.438602,2.266312
13,23.208569,21.823650,20.548426,19.206720,17.849184,16.586594,15.250739,13.989584,12.675252,11.377320,10.093464,8.826619,7.550336,6.285434,4.999218,3.750556,2.487495
14,24.464710,23.300451,21.698065,20.379925,19.077517,17.674025,16.309687,14.951075,13.588817,12.256528,10.869467,9.500698,8.139351,6.747244,5.407132,4.045136,2.654610
15,26.714592,25.309431,23.710972,21.485647,20.642040,19.329176,17.821312,16.158110,14.481474,13.187987,11.500063,10.069975,8.847257,7.332723,5.773086,4.542711,2.682977
16,28.348783,26.979454,25.419224,23.469595,21.922031,20.245573,18.947796,17.126747,15.735363,14.183502,12.424584,10.920774,9.164185,7.608645,6.121102,4.517467,3.107574
17,30.360476,28.392557,26.680166,25.183674,23.558701,21.741890,19.802965,18.271368,16.503550,14.761676,13.081902,11.410938,9.980004,8.352391,6.483918,4.915539,3.113091
18,31.062916,29.584806,27.797575,25.869761,24.150431,22.732368,21.112099,19.256723,17.555811,15.908553,14.104881,12.334794,10.328465,8.566248,6.859009,5.070702,3.574559
19,33.476482,31.460686,29.578466,27.884228,26.077822,24.174160,22.213406,20.607386,18.628445,16.752028,14.814815,13.108283,11.246719,9.361621,7.369515,5.614828,3.561575
20,35.031319,33.298672,31.381319,29.238508,27.346077,25.299822,23.525341,21.443573,19.778200,17.698351,15.917440,13.677596,11.448397,9.550714,7.612497,5.627255,3.804746
21,36.704353,34.539665,32.892555,30.938787,28.768806,26.831877,24.590954,22.591074,20.350609,18.264147,16.244267,14.289931,12.188678,10.213001,8.040327,5.935950,4.077865
22,39.049126,36.860626,34.785545,32.546394,30.347700,28.014229,25.710638,23.621433,21.522940,19.406960,17.174320,14.835546,12.779278,10.612304,8.372382,6.442788,4.087640
